Loss Function,Algorithm,Dataset Length,Dataset Width,Subset Length,Computation Time,Loss
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",greedySwap,200,10,10,0.07080399990081787,-97.3036700719915
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",bestOfRandom,200,10,10,0.010958540951833129,-93.47347506923116
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",averageOfRandom,200,10,10,0.011159291956573725,-90.24851121153519
"Uni-criterion: discreteCoverage, coverage",greedySwap,200,10,10,0.0327139999717474,-100.0
"Uni-criterion: discreteCoverage, coverage",bestOfRandom,200,10,10,0.006349166855216026,-100.0
"Uni-criterion: discreteCoverage, coverage",averageOfRandom,200,10,10,0.006310333032160997,-100.0
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",greedySwap,200,10,10,0.037003917153924704,2.6849630157502706
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",bestOfRandom,200,10,10,0.006522374926134944,5.84163897719205
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",averageOfRandom,200,10,10,0.006408750079572201,9.686536146654705
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",greedySwap,200,10,10,0.07019612495787442,-97.489428442853
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",bestOfRandom,200,10,10,0.010444542160257697,-94.46985156340993
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",averageOfRandom,200,10,10,0.010523292003199458,-90.2399411908882
"Uni-criterion: discreteCoverage, coverage",greedySwap,200,10,10,0.033328042132779956,-100.0
"Uni-criterion: discreteCoverage, coverage",bestOfRandom,200,10,10,0.006713374983519316,-100.0
"Uni-criterion: discreteCoverage, coverage",averageOfRandom,200,10,10,0.01094812504015863,-100.0
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",greedySwap,200,10,10,0.036739957984536886,3.0223471504433572
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",bestOfRandom,200,10,10,0.0068937079049646854,5.250611072196625
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",averageOfRandom,200,10,10,0.006508625112473965,9.664357295537991
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",greedySwap,200,10,10,0.08161308313719928,-97.92174826838914
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",bestOfRandom,200,10,10,0.012644625036045909,-93.7200110377592
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",averageOfRandom,200,10,10,0.015046832850202918,-90.18456614273236
"Uni-criterion: discreteCoverage, coverage",greedySwap,200,10,10,0.036195458145812154,-100.0
"Uni-criterion: discreteCoverage, coverage",bestOfRandom,200,10,10,0.007061041193082929,-100.0
"Uni-criterion: discreteCoverage, coverage",averageOfRandom,200,10,10,0.0068902920465916395,-100.0
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",greedySwap,200,10,10,0.03713033301755786,2.734077637826818
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",bestOfRandom,200,10,10,0.0068410420790314674,5.381824242097098
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",averageOfRandom,200,10,10,0.0064771659672260284,9.842809738244524
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",greedySwap,200,10,10,0.06841204199008644,-97.50277458720853
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",bestOfRandom,200,10,10,0.010638167150318623,-94.26398563889293
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",averageOfRandom,200,10,10,0.01022425014525652,-90.28049360629754
"Uni-criterion: discreteCoverage, coverage",greedySwap,300,10,10,0.07042808388359845,-100.0
"Uni-criterion: discreteCoverage, coverage",bestOfRandom,300,10,10,0.01189754088409245,-100.0
"Uni-criterion: discreteCoverage, coverage",averageOfRandom,300,10,10,0.011707167141139507,-100.0
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",greedySwap,300,10,10,0.059945084154605865,3.0582087169928656
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",bestOfRandom,300,10,10,0.01021791691891849,6.102836106939343
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",averageOfRandom,300,10,10,0.010074666934087873,10.104341492199408
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",greedySwap,300,10,10,0.12673929217271507,-97.55850982213306
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",bestOfRandom,300,10,10,0.017923375125974417,-94.90454063340283
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",averageOfRandom,300,10,10,0.017264916794374585,-89.96144159722887
"Uni-criterion: discreteCoverage, coverage",greedySwap,300,10,10,0.06590683315880597,-100.0
"Uni-criterion: discreteCoverage, coverage",bestOfRandom,300,10,10,0.011893667047843337,-100.0
"Uni-criterion: discreteCoverage, coverage",averageOfRandom,300,10,10,0.011262167012318969,-100.0
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",greedySwap,300,10,10,0.05809091706760228,2.9307630878447344
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",bestOfRandom,300,10,10,0.010286167031154037,5.051215132704939
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",averageOfRandom,300,10,10,0.010698124999180436,10.104137613747131
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",greedySwap,300,10,10,0.1233685000333935,-97.56830240358148
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",bestOfRandom,300,10,10,0.019388459157198668,-94.19475371366214
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",averageOfRandom,300,10,10,0.018992541823536158,-89.8243643328065
"Uni-criterion: discreteCoverage, coverage",greedySwap,300,10,10,0.06888612499460578,-100.0
"Uni-criterion: discreteCoverage, coverage",bestOfRandom,300,10,10,0.013208166928961873,-100.0
"Uni-criterion: discreteCoverage, coverage",averageOfRandom,300,10,10,0.012649792013689876,-100.0
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",greedySwap,300,10,10,0.059269749792292714,2.7988994799559843
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",bestOfRandom,300,10,10,0.010326166870072484,5.993498832726061
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",averageOfRandom,300,10,10,0.01021216600202024,10.00329497172588
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",greedySwap,300,10,10,0.13006699993275106,-97.00312064136749
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",bestOfRandom,300,10,10,0.018696167040616274,-94.32212611415406
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",averageOfRandom,300,10,10,0.019151708111166954,-89.96341922561882
"Uni-criterion: discreteCoverage, coverage",greedySwap,300,10,10,0.06374741718173027,-100.0
"Uni-criterion: discreteCoverage, coverage",bestOfRandom,300,10,10,0.011348958127200603,-100.0
"Uni-criterion: discreteCoverage, coverage",averageOfRandom,300,10,10,0.01166158402338624,-100.0
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",greedySwap,300,10,10,0.057186124846339226,2.631622402970011
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",bestOfRandom,300,10,10,0.010015957988798618,5.706995218476672
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",averageOfRandom,300,10,10,0.011269542155787349,9.865903076778721
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",greedySwap,300,10,10,0.13225208315998316,-97.22309838225272
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",bestOfRandom,300,10,10,0.020197999896481633,-94.62886007146463
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",averageOfRandom,300,10,10,0.01903958315961063,-89.75346602749867
